delayCode,description,Male1(e),Male1(m),Female1(e),Female1(m)
100,This train has been delayed by a broken down train,disruption-reason.e.a broken down train,disruption-reason.m.a broken down train,disruption-reason.e.a broken down train,disruption-reason.m.a broken down train
101,This train has been delayed by a delay on a previous journey,disruption-reason.e.late running of the previous train,disruption-reason.m.late running of the previous train,disruption-reason.e.late running of the previous train,disruption-reason.m.late running of the previous train
102,This train has been delayed by a derailed train,disruption-reason.e.a derailment,disruption-reason.m.a derailment,disruption-reason.e.a derailment,disruption-reason.m.a derailment
104,This train has been delayed by a fire at a station,disruption-reason.e.a fire,disruption-reason.m.a fire,disruption-reason.e.a fire,disruption-reason.m.a fire
105,This train has been delayed by a fire at a station earlier,disruption-reason.e.a fire,disruption-reason.m.a fire,disruption-reason.e.a fire,disruption-reason.m.a fire
106,This train has been delayed by a landslip,disruption-reason.e.a landslide,disruption-reason.m.a landslide,disruption-reason.e.a landslide,disruption-reason.m.a landslide
107,This train has been delayed by a line-side fire,disruption-reason.e.a lineside fire,disruption-reason.m.a lineside fire,disruption-reason.e.a lineside fire,disruption-reason.m.a lineside fire
108,This train has been delayed by a member of train crew being unavailable,disruption-reason.e.a temporary shortage of train crews,disruption-reason.m.a temporary shortage of train crews,disruption-reason.e.a temporary shortage of train crews,disruption-reason.m.a temporary shortage of train crews
109,This train has been delayed by a passenger being taken ill,disruption-reason.e.a customer having been taken ill on this train,disruption-reason.m.a customer having been taken ill on this train,disruption-reason.e.a customer having been taken ill on this train,disruption-reason.m.a customer having been taken ill on this train
110,This train has been delayed by a passenger having been taken ill earlier,disruption-reason.e.a customer having been taken ill on a preceding train,disruption-reason.m.a customer having been taken ill on a preceding train,disruption-reason.e.a customer having been taken ill on a preceding train,disruption-reason.m.a customer having been taken ill on a preceding train
111,This train has been delayed by a person hit by a train,disruption-reason.e.a suspected fatality,disruption-reason.m.a suspected fatality,disruption-reason.e.a suspected fatality,disruption-reason.m.a suspected fatality
112,This train has been delayed by a person hit by a train earlier,disruption-reason.e.an earlier fatality,disruption-reason.m.an earlier fatality,disruption-reason.e.an earlier fatality,disruption-reason.m.an earlier fatality
113,This train has been delayed by a problem at a level crossing,disruption-reason.e.a fault on a level crossing,disruption-reason.m.a fault on a level crossing,disruption-reason.e.a fault on a level crossing,disruption-reason.m.a fault on a level crossing
