id,script,inflection,comment,type,suppress
0,sfx - silence,,,,
1,platform,s,,,
2,platform,m,,,
4,service to,m,,,
5,service from,m,,,
6,calling at,m,,,
7,and,m,,,
9,should change at,m,,,
10,a trolley service,s,,,
11,of drinks and light refreshments,m,,,
13,is available on this train,e,,,
15,this train,m,,,
18,there will be a special bus service in operation,s,,,
19,between,m,,,
22,customers for,s,,,
23,we're sorry to announce that,s,,,
24,is delayed,e,,,
25,the,m,,,
27,is delayed by approximately,m,,,
28,minutes,e,,,
29,we apologise for the inconvenience caused,e,,,
30,please listen for further announcements,e,,,
31,due to,m,,,
32,a staff shortage,e,,disruption-reason,
33,a points failure,e,,disruption-reason,
34,signalling difficulties,e,,disruption-reason,
35,the late arrival of an incoming train,e,,disruption-reason,
36,bad weather conditions,e,,disruption-reason,
37,engineering works,e,,disruption-reason,
38,vandalism,e,,disruption-reason,
39,a train failure,e,,disruption-reason,
40,overhead electric line problems,e,,disruption-reason,
41,a signalling apparatus failure,e,,disruption-reason,
42,leaves on the line,e,,disruption-reason,
43,trespass on the line,e,,disruption-reason,
44,an incident on the line,e,,disruption-reason,
45,suspected damage to a railway bridge,e,,disruption-reason,
46,cancellation of the incoming service,e,,disruption-reason,
47,adverse weather conditions,e,,disruption-reason,
48,attention please,s,,,
49,here is a special announcement,m,,,
59,please do not leave cases or parcels,m,,,
60,unattended anywhere on the station,m,,,
61,any unattended articles are likely to be removed,m,,,
62,without warning,e,,,
64,stand clear of the doors at,s,,,
65,this train is ready to leave,e,,,
70,minutes,m,,,
71,for the,m,,,
73,the next train at,s,,,
88,this train terminates here,e,,,
95,only,e,,,
97,we apologise for this cancellation,e,,,
120,the train now approaching,s,,,
123,this is a platform alteration,m,,,
128,snow in the points,e,,disruption-reason,
129,has been cancelled,e,,disruption-reason,
130,a vehicle striking a level crossing,m,,disruption-reason,
131,frozen points,m,,disruption-reason,
132,a staff shortage,m,,disruption-reason,
133,a points failure,m,,disruption-reason,
134,signalling difficulties,m,,disruption-reason,
135,the late arrival of an incoming train,m,,disruption-reason,
136,bad weather conditions,m,,disruption-reason,
137,engineering works,m,,disruption-reason,
138,vandalism,m,,disruption-reason,
139,a train failure,m,,disruption-reason,
140,overhead electric line problems,m,,disruption-reason,
141,a signalling apparatus failure,m,,disruption-reason,
142,leaves on the line,m,,disruption-reason,
143,trespass on the line,m,,disruption-reason,
144,an incident on the line,m,,disruption-reason,
145,suspected damage to a railway bridge,m,,disruption-reason,
146,cancellation of the incoming service,m,,disruption-reason,
147,adverse weather conditions,m,,disruption-reason,
148,power supply problems,m,,disruption-reason,
149,flooding on the line,m,,disruption-reason,
150,we apologise to passengers just arrived at,s,,,
151,the late arrival of their train,e,,,
152,this was due to,m,,,
156,"all change please, all change",w,,,
165,at,m,,,
170,ferry services to,m,,,
176,has been cancelled,m,,,
178,the train at,s,,,
180,is the,m,,,
184,is delayed,m,,,
185,a buffet service,m,,,
186,a restaurant service,m,,,
187,a silver service,m,,,
188,a snack car service,m,,,
189,the advertised catering service,m,,,
190,is not available,m,,,
191,on this train today,e,,,
